file,R,S,M,Y,C,L,MES_60,n_frames,duration_s
Moguls_Männer_Final_1 - 22_poses.csv,0.6954208737950096,0.4866811124839895,0.4264939570338614,0.9149649948003378,0.18922996125872027,0.7096774193548387,34.22468318726757,94,3.8
Moguls_Männer_Final_2_05_poses.csv,0.6576734015592711,0.45615778562562315,0.43560080737997753,0.9736205705261085,0.12167264399165578,0.7733333333333333,34.180585424159695,76,3.0
Moguls_Männer_Final_2_08_poses.csv,0.7206369665211488,0.49554029922319376,0.4952841355315283,0.8034762271386852,0.22727376973574553,0.6666666666666667,34.08878064816968,133,5.3
Moguls_Frauen_Final_1_14_poses.csv,0.646880108908376,0.629162569530564,0.6175325146388388,0.7761261979012469,0.051254445490998224,0.6851851851851851,34.06141021655209,109,4.4
Moguls_Männer_Final_2_06_poses.csv,0.5669872981077807,0.5565381632436963,0.5650405576173131,0.8065228897645126,0.184894801271955,0.7017543859649122,33.817380959701694,115,4.6
Moguls_Frauen_Final_2_07_poses.csv,0.7233355644891393,0.5961379635573971,0.34042529232845353,0.9582290554043892,0.16698180922501726,0.5882352941176471,33.73344979122044,103,4.1
Moguls_Frauen_Final_2_12_poses.csv,0.5643024652280186,0.4749652730730908,0.556735927763319,0.9605266469401719,0.20600983412933804,0.6018518518518519,33.643919989857906,109,4.4
Moguls_Männer_Final_1 - 15_poses.csv,0.5403158434212423,0.5892519906846123,0.5211536442971043,0.8730932203389854,0.13529478010171847,0.6971428571428571,33.562523359865196,176,7.0
Moguls_Frauen_Final_1_01_poses.csv,0.8008908730257589,0.48030054940161804,0.506806595169905,0.7521058209036472,0.18206859832731837,0.6144578313253012,33.36630268153549,84,3.4
Moguls_Frauen_Final_1_11_poses.csv,0.8367006838144548,0.4279701781909194,0.5854709102136834,0.624841473199264,0.1295731433953392,0.7272727272727273,33.318291160863886,89,3.6
Moguls_Männer_Final_2_07_poses.csv,0.6233766233766234,0.6833431851584861,0.5524548985676448,0.636782807198411,0.1928628015687015,0.5842696629213483,32.73089978791215,90,3.6
Moguls_Frauen_Final_1_17_poses.csv,0.7214969023480959,0.5583266302492276,0.2793999875269335,0.9335058417627204,0.12288343303251159,0.5697674418604651,31.853802367799542,87,3.5
Moguls_Frauen_Final_1_10_poses.csv,0.6939741232484076,0.5360217054206609,0.23854534223413604,0.980640208797119,0.07122058613122095,0.6557377049180328,31.76139670749577,123,4.9
Moguls_Männer_Final_1 - 19_poses.csv,0.5327537486827636,0.6158782283870312,0.5236778542657754,0.6490054869684518,0.183423915515725,0.6263736263736264,31.31112860193373,92,3.7
Moguls_Männer_Final_1 - 11_poses.csv,0.5455085259325538,0.627110349098023,0.2647447529255531,0.8959705989471249,0.12161732285102111,0.6262626262626263,30.812141760169027,100,4.0
Moguls_Frauen_Final_1_02_poses.csv,0.8546135590083734,0.593516474121254,0.10196119600639852,0.6939221573344269,0.12028346844860982,0.7008547008547008,30.651515557737632,118,4.7
Moguls_Frauen_Final_2_06_poses.csv,0.7025539091728488,0.5165468832897074,0.4041336277514541,0.8783102558542402,0.07067909740761491,0.48920863309352514,30.614324065693907,140,5.6
Moguls_Männer_Final_1 - 10_poses.csv,0.5831304172278273,0.5455188761282584,0.5385681605730087,0.45209965917611383,0.22702704939648732,0.7107438016528926,30.570879641545883,122,4.9
Moguls_Männer_Final_1 - 18_poses.csv,0.43551709060008614,0.4113880725257093,0.39433001973021664,0.9621584267501996,0.1838169545705427,0.6634615384615384,30.50672102638293,105,4.2
Moguls_Frauen_Final_1_07_poses.csv,0.5723820129401209,0.5781386908621543,0.20275150130294917,0.8687782533061306,0.20937935290789234,0.611764705882353,30.431945172016004,86,3.4
Moguls_Frauen_Final_1_04_poses.csv,0.6479717303306418,0.6407589886053655,0.01929687770576649,0.8815255445053705,0.21296104167430197,0.638095238095238,30.40609420916684,106,4.2
Moguls_Frauen_Final_1_03_poses.csv,0.6825575333189227,0.5932489136888932,0.32771689138801086,0.5645921330107665,0.1427376805569477,0.6230769230769231,29.33930075040464,131,5.2
Moguls_Männer_Final_1 - 05_poses.csv,0.57426534085184,0.46910798108277807,0.5249569127093762,0.5047174935524261,0.1702747408261741,0.6595744680851063,29.02896937107701,95,3.8
Moguls_Männer_Final_1 - 20_poses.csv,0.4306577506649717,0.5308457272340997,0.4892166843090531,0.5507823819182831,0.21147150749714128,0.6571428571428571,28.701169087664056,71,2.8
Moguls_Männer_Final_2_02_poses.csv,0.26655168650311245,0.5048148145935474,0.4817987301882817,0.6896030134486896,0.2056854134123025,0.6949152542372881,28.433689123832217,119,4.8
Moguls_Frauen_Final_1_15_poses.csv,0.535231294420283,0.5088504731949873,0.1914832997834972,0.7590399196744144,0.1967430538332715,0.618705035971223,28.100530768776764,279,11.2
Moguls_Männer_Final_1 - 23_poses.csv,0.4660744147240695,0.6012344241209228,0.319465339161059,0.648168685712666,0.07648051815829093,0.676923076923077,27.883464588000848,66,2.6
Moguls_Frauen_Final_1_13_poses.csv,0.42116274399902753,0.3955327043628657,0.27023962880470864,0.9853876346989239,0.0,0.654320987654321,27.266436995198468,82,3.3
Moguls_Männer_Final_2_03_poses.csv,0.15192902612381443,0.5269526929279749,0.3640718837418693,0.974672346394315,0.0002018828542821316,0.6542056074766356,26.720334395188914,108,4.3
Moguls_Frauen_Final_1_08_poses.csv,0.5368230662345994,0.620721792430893,0.0831012610607692,0.6517988491834412,0.11724531598421428,0.6296296296296297,26.39319914523547,82,3.3
Moguls_Männer_Final_1 - 08_poses.csv,0.23903184514779618,0.3751768702827434,0.32014273396990045,0.7400458975279909,0.20801277863450873,0.6901408450704225,25.725509706333618,72,2.9
